"HOUSEID","PERSONID","TRIPID","SEQ_TRIPID","VEHCASEID","FRSTHM","PARK","HHMEMDRV","TDWKND","TRAVDAY","LOOP_TRIP","DWELTIME","PUBTRANS","TRIPPURP","WHYFROM","WHYTRP1S","TRVLCMIN","STRTTIME","ENDTIME","TRPHHVEH","VEHID","TRPTRANS","NUMONTRP","ONTD_P1","ONTD_P2","ONTD_P3","ONTD_P4","ONTD_P5","ONTD_P6","ONTD_P7","ONTD_P8","ONTD_P9","ONTD_P10","NONHHCNT","HHACCCNT","WHODROVE","DRVR_FLG","PSGR_FLG","WHODROVE_IMP","PARK2_PAMOUNT","PARK2_PAYTYPE","PARK2","WHYTO","WALK","TRPMILES","WTTRDFIN","WTTRDFIN5D","WTTRDFIN2D","TDCASEID","VMT_MILE","GASPRICE","WHYTRP90","NUMADLT","HOMEOWN","RAIL","CENSUS_D","CENSUS_R","HH_HISP","DRVRCNT","CDIVMSAR","HHFAMINC","HH_RACE","HHSIZE","HHVEHCNT","LIF_CYC","MSACAT","MSASIZE","URBAN","URBANSIZE","URBRUR","TDAYDATE","WRKCOUNT","STRATUMID","R_AGE","R_SEX","WORKER","DRIVER","R_RACE","R_HISP","PROXY","EDUC","PRMACT","R_SEX_IMP","VEHTYPE"
"9000013016","02","02","02","900001301601","01","-1","01","02","04","02",105,"02","05","11","40",15,"1400","1415","01","01","01",2,"01","01","-1","-1","-1","-1","-1","-1","-1","-1",0,"02","02","01","02","02",-1,"-1","-1","14","01",4.59850839030454,1172993.5635,1042810.598804,0,"90000130160202",4.59850839030454,"344.9","04",2,"03","02","01","01","02",2,"13","07","01",2,1,"02","03","03","01","02","01","202202",2,"1021",41,"01","01","01","01","02","02","04","-1","01","01"
"9000013016","02","03","03","900001301601","01","-1","01","02","04","02",-9,"02","04","14","01",30,"1600","1630","01","01","01",2,"01","01","-1","-1","-1","-1","-1","-1","-1","-1",0,"02","02","01","02","02",-1,"-1","-1","01","02",5.42324425108763,1172993.5635,1042810.598804,0,"90000130160203",5.42324425108763,"344.9","06",2,"03","02","01","01","02",2,"13","07","01",2,1,"02","03","03","01","02","01","202202",2,"1021",41,"01","01","01","01","02","02","04","-1","01","01"
"9000013039","01","01","01","900001303901","01","02","01","02","05","02",50,"02","02","01","40",10,"1700","1710","01","01","01",1,"01","02","02","02","-1","-1","-1","-1","-1","-1",0,"01","01","01","02","01",-1,"-1","-1","13","01",0.635177128651336,4441214.9672,3260579.12986,0,"90000130390101",0.635177128651336,"341.9","03",2,"03","01","01","01","02",2,"11","07","01",4,1,"06","01","04","01","04","01","202201",1,"1021",38,"01","01","01","01","02","01","06","-1","01","01"
"9000013039","01","02","02","900001303901","01","02","01","02","05","02",-9,"02","02","13","01",10,"1800","1810","01","01","01",1,"01","02","02","02","-1","-1","-1","-1","-1","-1",0,"01","01","01","02","01",-1,"-1","-1","01","01",0.635177128651336,4441214.9672,3260579.12986,0,"90000130390102",0.635177128651336,"341.9","03",2,"03","01","01","01","02",2,"11","07","01",4,1,"06","01","04","01","04","01","202201",1,"1021",38,"01","01","01","01","02","01","06","-1","01","01"
"9000013042","01","01","01","900001304201","01","02","01","02","06","02",60,"02","03","01","50",30,"1500","1530","01","01","03",3,"01","01","01","-1","-1","-1","-1","-1","-1","-1",0,"03","01","01","02","01",-1,"-1","-1","16","03",10.538844002486,2998396.566,2964538.41528,0,"90000130420101",10.538844002486,"350.2","10",2,"01","01","01","01","02",2,"11","11","03",3,2,"04","01","05","01","04","01","202202",2,"1021",59,"01","01","01","03","02","01","08","-1","01","03"
"9000013042","01","02","02","900001304201","01","02","01","02","06","02",-9,"02","03","16","01",30,"1630","1700","01","01","03",3,"01","01","01","-1","-1","-1","-1","-1","-1","-1",0,"03","01","01","02","01",-1,"-1","-1","01","01",12.5363579863269,2998396.566,2964538.41528,0,"90000130420102",12.5363579863269,"350.2","10",2,"01","01","01","01","02",2,"11","11","03",3,2,"04","01","05","01","04","01","202202",2,"1021",59,"01","01","01","03","02","01","08","-1","01","03"
"9000013042","02","01","01","900001304201","01","02","01","02","06","02",60,"02","03","01","50",30,"1500","1530","01","01","03",3,"01","01","01","-1","-1","-1","-1","-1","-1","-1",0,"03","01","02","01","01",-1,"-1","-1","16","03",10.538844002486,3012480.2338,3109287.15682,0,"90000130420201",-1,"350.2","10",2,"01","01","01","01","02",2,"11","11","03",3,2,"04","01","05","01","04","01","202202",2,"1021",38,"02","01","01","03","02","01","08","-1","02","03"
"9000013042","02","02","02","900001304201","01","02","01","02","06","02",-9,"02","03","16","01",30,"1630","1700","01","01","03",3,"01","01","01","-1","-1","-1","-1","-1","-1","-1",0,"03","01","02","01","01",-1,"-1","-1","01","01",12.5363579863269,3012480.2338,3109287.15682,0,"90000130420202",-1,"350.2","10",2,"01","01","01","01","02",2,"11","11","03",3,2,"04","01","05","01","04","01","202202",2,"1021",38,"02","01","01","03","02","01","08","-1","02","03"
"9000013043","01","01","01","-1","01","02","-1","02","03","01",-9,"02","03","01","50",30,"1630","1700","-1","-1","20",1,"01","-1","-1","-1","-1","-1","-1","-1","-1","-1",0,"01","-1","-1","-1","-1",-1,"-1","-1","16","-1",2,1141083.7128,863775.579654,0,"90000130430101",-1,"350.2","10",1,"02","01","01","01","02",1,"11","06","01",1,1,"09","01","05","01","04","01","202202",0,"1021",73,"01","02","01","01","02","01","07","05","01","-1"
"9000013044","01","01","01","-1","01","02","-1","02","06","02",5,"02","04","01","40",10,"1200","1210","02","-1","20",2,"01","01","-1","-1","-1","-1","-1","-1","-1","-1",0,"02","-1","-1","-1","-1",-1,"-1","-1","14","-1",0.389683032939714,2263200.1433,2015913.197974,0,"90000130440101",-1,"350.2","04",2,"03","01","01","01","02",2,"11","07","01",2,2,"02","01","05","01","04","01","202202",2,"1021",29,"02","01","01","01","02","01","06","-1","02","-1"
"9000013044","01","02","02","-1","01","02","-1","02","06","02",-9,"02","04","14","01",15,"1215","1230","02","-1","20",2,"01","01","-1","-1","-1","-1","-1","-1","-1","-1",0,"02","-1","-1","-1","-1",-1,"-1","-1","01","-9",0.389683032939714,2263200.1433,2015913.197974,0,"90000130440102",-1,"350.2","04",2,"03","01","01","01","02",2,"11","07","01",2,2,"02","01","05","01","04","01","202202",2,"1021",29,"02","01","01","01","02","01","06","-1","02","-1"
"9000013044","02","01","01","-1","01","-1","-1","02","06","02",5,"02","04","01","40",10,"1200","1210","02","-1","20",2,"01","01","-1","-1","-1","-1","-1","-1","-1","-1",0,"02","-1","-1","-1","-1",-1,"-1","-1","14","-1",0.389683032939714,2258119.2981,1949775.405604,0,"90000130440201",-1,"350.2","04",2,"03","01","01","01","02",2,"11","07","01",2,2,"02","01","05","01","04","01","202202",2,"1021",30,"01","01","01","01","02","02","06","-1","01","-1"
"9000013044","02","02","02","-1","01","-1","-1","02","06","02",-9,"02","04","14","01",15,"1215","1230","02","-1","20",2,"01","01","-1","-1","-1","-1","-1","-1","-1","-1",0,"02","-1","-1","-1","-1",-1,"-1","-1","01","-9",0.389683032939714,2258119.2981,1949775.405604,0,"90000130440202",-1,"350.2","04",2,"03","01","01","01","02",2,"11","07","01",2,2,"02","01","05","01","04","01","202202",2,"1021",30,"01","01","01","01","02","02","06","-1","01","-1"
"9000013045","01","01","01","900001304501","01","02","01","02","02","02",0,"02","04","01","70",20,"1330","1350","01","01","01",2,"01","01","-1","-1","-1","-1","-1","-1","-1","-1",0,"02","01","01","02","01",-1,"-1","-1","10","08",6.07395898073337,1661018.5319,1319412.889782,0,"90000130450101",6.07395898073337,"355.1","04",2,"03","01","01","01","02",1,"11","06","01",2,1,"02","01","05","01","04","01","202202",2,"1021",35,"01","01","01","01","02","01","08","-1","01","01"
"9000013045","01","02","02","900001304501","01","02","01","02","02","02",110,"02","04","10","01",20,"1350","1410","01","01","01",1,"01","02","-1","-1","-1","-1","-1","-1","-1","-1",0,"01","01","01","02","01",-1,"-1","-1","02","01",4.32256059664388,1661018.5319,1319412.889782,0,"90000130450102",4.32256059664388,"355.1","04",2,"03","01","01","01","02",1,"11","06","01",2,1,"02","01","05","01","04","01","202202",2,"1021",35,"01","01","01","01","02","01","08","-1","01","01"
"9000013045","01","03","03","900001304501","01","02","01","02","02","02",0,"02","04","02","70",20,"1600","1620","01","01","01",1,"01","02","-1","-1","-1","-1","-1","-1","-1","-1",0,"01","01","01","02","01",-1,"-1","-1","10","08",6.07395898073337,1661018.5319,1319412.889782,0,"90000130450103",6.07395898073337,"355.1","04",2,"03","01","01","01","02",1,"11","06","01",2,1,"02","01","05","01","04","01","202202",2,"1021",35,"01","01","01","01","02","01","08","-1","01","01"
